ID,Name,Slug
5,Interactive Brokers,interactive-brokers
6,Saxo,saxo-bank
62,XTB,xtb
14,eToro,etoro
145,Capital.com,capitalcom
88,Charles Schwab,charles-schwab
105,Fidelity,fidelity
183,Lightyear,lightyear
125,Trading 212,trading-212
98,Questrade,questrade
15,DEGIRO,degiro
20,Plus500 CFD,plus500
211,tastyfx,tastyfx
123,CMC Markets,cmc-markets
13,Oanda,oanda
191,MEXEM,mexem
18,tastytrade,tastytrade
68,Forex.com,forex.com
202,Plus500 Futures,plus500-futures
129,NinjaTrader,ninjatrader
11,Swissquote,swissquote
184,Admirals (Admiral Markets),admirals-admiral-markets
134,Fineco Bank,fineco-bank
149,moomoo,moomoo
119,Interactive Investor,interactive-investor
127,Merrill Edge,merrill-edge
106,Fusion Markets,fusion-markets
66,City Index,city-index
94,E*TRADE,e-trade
209,Plus500 Invest,plus500-invest
201,Public.com,publiccom
21,Pepperstone,pepperstone
70,IC Markets,ic-markets
126,Tickmill,tickmill
115,Freetrade,freetrade
64,TradeStation Global,tradestation-global
102,Ally Invest,ally-invest
12,IG,ig
117,Webull,webull
78,J.P. Morgan Self-Directed Investing,jp-morgan-self-directed-investing
139,Vantage,vantage-markets
118,AJ Bell Youinvest,aj-bell-youinvest
107,Axi,axitrader
144,Spreadex,spreadex
60,Robinhood,robinhood
156,Optimus Futures,optimus-futures
84,Charles Stanley Direct,charles-stanley-direct
171,Moneta Markets,moneta-markets
121,MultiBank Group,multibank
208,Trading.com,tradingcom
22,TradeStation,tradestation
116,SoFi Invest,sofi-invest
96,XM,xm
108,FP Markets,fp-markets
104,AvaTrade,avatrade
143,ActivTrades,activtrades
150,Eightcap,eightcap
198,Trade Republic,trade-republic
120,Revolut,revolut
114,Qtrade Direct Investing,qtrade-direct-investing
28,FXCM,fxcm
110,Firstrade,firstrade
153,Trade Nation,trade-nation
112,Vanguard,vanguard
133,FxPro,fxpro
205,Hantec Markets,hantec-markets
196,Global Prime,global-prime
137,Alpaca Trading,alpaca-trading
179,GO Markets,go-markets
128,Zacks Trade,zacks-trade
131,Halifax,halifax
155,BlackBull Markets,blackbull-markets
204,Exness,exness
19,Markets.com,marketsx
140,HYCM,hycm
142,TMGM,tmgm
72,LYNX,lynx
206,AvaFutures,avafutures
152,Brokerpoint,brokerpoint
175,VT Markets,vt-markets
109,FXTM,fxtm
147,CapTrader,captrader
181,FBS,fbs
76,SogoTrade,sogotrade
188,TradeZero,tradezero
180,FXTRADING.com,fxtradingcom
165,ARMO Broker,armo-broker
90,Hargreaves Lansdown,hargreaves-lansdown
130,Fidelity International,fidelity-international
163,AMP Futures,amp-futures
74,flatex,flatex
203,Tradier,tradier
169,Royal,royal
197,Skilling,skilling
16,Comdirect,comdirect
132,Barclays,barclays
212,Tio Markets,tio-markets
135,Stake,stake
113,Zerodha,zerodha
185,K&H Értékpapír,kbc-equitas
227,Mediolanum,mediolanum
219,Joe Broker,joe-broker
195,Erste Broker,erste-broker
111,RBC Direct Investing,rbc-direct-investing
158,CITIC Securities,citic-securities
160,EasyEquities,easyequities
217,Smartbroker,smartbroker
220,finanzen.net ZERO,finanzennet-zero
222,Directa,directa
82,Sharekhan,sharekhan
225,Webank (Italy),webank-italy
80,ChoiceTrade,choicetrade
17,BGL BNP Paribas,bnp-paribas
226,ING Italia,ing-italia
214,ING Direkt Depot,ing-direkt-depot
213,maxblue,maxblue
221,S Broker,s-broker
216,DKB,dkb
223,Banca Sella,banca-sella
215,Consorsbank,consorsbank
159,Davy Select,davy-select
224,InvestoPro,investopro
